,x,y,cls
0,-0.421120531,0.989526255,0
1,-2.313031957,6.122275727,0
2,1.831469096,0.518891937,1
3,1.135356913,7.467182311,0
4,16.43169131,16.77704806,1
5,2.010610861,12.16336629,0
6,0.668752221,0.915685528,1
7,-0.014760515,0.770995278,0
8,13.62671224,17.17218384,1
9,-0.382398643,1.004858274,0
10,0.840361431,0.585260633,1
11,1.995060552,0.155448271,1
12,1.265486471,0.639104587,0
13,14.83266145,13.22986403,0
14,0.310966886,-0.118296115,1
15,1.778077526,3.835150972,0
16,14.47789054,17.93649931,1
17,9.960188632,2.249756411,1
18,12.85638717,1.803803029,1
19,17.1532619,15.15832976,0
20,3.838749905,9.524399033,0
21,16.94782808,14.96123736,0
22,14.46425034,15.67176574,1
23,15.11801481,12.41276224,0
24,14.82846551,14.92252278,1
25,15.75372846,17.29616378,1
26,1.075686887,-0.834003893,0
27,6.691727961,0.265453216,1
28,13.7198317,17.43272895,1
29,7.651878585,10.709026,1
30,13.66209284,2.878170695,1
31,-1.218725044,0.432614866,0
32,12.07621851,16.83985925,1
33,0.390835937,0.977997807,0
34,1.855098188,2.779281187,0
35,2.551218461,-0.337249914,1
36,-0.805894108,0.952109551,0
37,0.850191289,-0.02648978,1
38,4.218608381,1.993026405,0
39,2.65167041,-3.81780464,0
40,14.6306739,12.17121899,0
41,-0.76375213,3.849019738,0
42,16.78895792,13.53720929,0
43,-0.553662813,0.217526083,0
44,1.57061526,0.168515059,1
45,2.352704808,0.286729551,1
46,17.07233128,15.97962543,1
47,-1.610717683,0.699934102,0
48,14.27368616,15.54228144,0
49,1.756673449,11.56718932,0
50,2.806849289,0.592568347,0
51,17.8570325,14.63832816,0
52,12.64700122,13.70811761,0
53,3.658037512,6.795452431,0
54,1.601513354,0.12437252,1
55,1.772622117,0.016901106,0
56,17.09475507,16.00023194,1
57,-1.15113679,0.448643019,0
58,1.721920324,0.189693151,1
59,2.179786699,0.386668425,1
60,6.638452034,15.19668326,1
